Hospital Name,,Erie County Medical Center,,,,,,,,,,
Effective Date,,1/1/2022 12:00am,,,,,,,,,,
File Disclaimer,,The information contained in this file is intended for informational purposes only and does not represent any obligation or agreement.,,,,,,,,,,
Payer Disclaimer,,"In the absence of payment rates by plan type (HMO vs PPO), unless otherwise noted, please assume all plans are contracted under the same payer specific negotiated charge.",,,,,,,,,,
Gross Charge,,This section presents the standard gross charge for items And services.,,,,,,,,,,
Discounted Cash Price,,This section presents information regarding discounted cash pricing for those patients who decide to pay without insurance coverage.,,,,,,,,,,
Inpatient De-identified Negotiated Charge,,"This section presents the de-identified minimum And maximum charge For items, services, And service packages that occur In the inpatient setting.",,,,,,,,,,
Inpatient Payer Specific Charge,,"This section presents the payer specific negotiated charge For items, services, And service packages that occur In the inpatient setting.",,,,,,,,,,
Outpatient De-identified Negotiated Charge,,"This section presents the de-identified minimum And maximum charge For items, services, And service packages that occur In the outpatient setting.",,,,,,,,,,
Outpatient Payer Specific Charge,,"This section presents the payer specific negotiated charge For items, services, And service packages that occur In the outpatient setting.",,,,,,,,,,
,,,,,,,,,,,,
Gross Charges,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Description,CDM Revenue Code,CDM HCPCS,CDM Modifier, Standard Price ,Notes,,,,,,
4510036000,INTRO NEEDLE / INTRA CATH VEIN,361,36000,, $463.11 , ,,,,,,
4510001300,COLLECT VEN BLOOD VENIPUNCTURE,300,36415,, $20.93 , ,,,,,,
4510364301,TRANSFUSION BLOOD ADMIN,391,36430,," $1,231.21 ", ,,,,,,
4510036591,BLOOD DRAW - IMPLANTED DEVICE,300,36591,, $192.35 , ,,,,,,
4510236592,BLOOD DRAW PICC LINE,300,36592,, $192.35 , ,,,,,,
4510036593,DECLOT BY THROMBOLYTIC AGENT,361,36593,, $624.90 , ,,,,,,
4510850950,BONE MARROW ASPIRATION DX,361,38220,, $883.74 , ,,,,,,
4510038221,BX NEEDLE BONE MARROW DX,361,38221,, $920.56 , ,,,,,,
4510043222,BONE MARROW BX&APRIRAT(S) DX,361,38222,," $2,451.88 ", ,,,,,,
4510090471,IMMUNIZATION ADMIN ONE VACCINE,771,90471,, $102.26 , ,,,,,,
4510994000,ADMINISTRATION FLU VACCINE,771,90471,, $102.26 , ,,,,,,
4510994002,IMMUNIZATION ADMIN EACH ADD'L,771,90472,, $59.30 , ,,,,,,
4510993551,IV ST HYDRATE INT 31MIN TO 1HR,260,96360,, $632.47 , ,,,,,,
4510993552,IV INF HYDRATION EA ADD'L HR,260,96361,, $74.41 , ,,,,,,
4510907800,IV INF THER/PROP/DX INT TO 1HR,260,96365,, $685.95 , ,,,,,,
4510907810,"IV INFUSION THERA,DX,EA ADD HR",260,96366,, $120.92 , ,,,,,,
4510096367,"IV INF THERA, DX, EA SEQ DRUG",260,96367,, $162.97 , ,,,,,,
4510096368,CONCURRENT INFUSIONS,260,96368,, $111.61 , ,,,,,,
4510907820,INJECT THERAP/PROPH/DX SUBQ/IM,260,96372,, $209.27 , ,,,,,,
4510096374,"THERA,DX,IV PUSH,SING/INT DRUG",260,96374,, $478.54 , ,,,,,,
4510096375,"THERA,DX,IV PUSH ADD'L EA DRUG",260,96375,, $134.86 , ,,,,,,
4510096376,EA ADD'L SEQ IV PUSH SAME DRUG,260,96376,, $134.86 , ,,,,,,
4510096377,APPLY ON BODY INJCTOR SUBQ INJ,260,96377,, $55.30 , ,,,,,,
4510096401,CHEMO INJECT SQ/IM NON-HORMON,280,96401,, $366.22 , ,,,,,,
4510096402,CHEMO INJECT SQ/IM HORMONAL,280,96402,, $165.09 , ,,,,,,
4510096409,CHEMO IV PUSH INTL SING DRUG,280,96409,, $452.25 , ,,,,,,
4510096411,CHEMO IV PUSH EA ADDL DRUG,280,96411,, $283.07 , ,,,,,,
4510096413,CHEMO INFUSION INTL 1ST HR,280,96413,, $413.89 , ,,,,,,
4510096415,CHEMO INFUSION EA ADD'L HR,280,96415,, $143.00 , ,,,,,,
4510096416,CHEMO INFUSION PROLONGED >8HRS,280,96416,, $718.38 , ,,,,,,
4510096417,CHEMO INFUS EA ADDL SEQ=< 1HR,280,96417,, $228.09 , ,,,,,,
4510096450,ADMIN CHEMO INTO CNS INC LP,280,96450,, $827.78 , ,,,,,,
4510965200,REFILL & MAINT PORTABLE PUMP,280,96521,, $389.15 , ,,,,,,
4510965300,IRRIGATION IMPLANTED IVAD,280,96523,, $116.72 , ,,,,,,
4510993610,PHLEBOTOMY - THERAPUETIC,940,99195,, $261.44 , ,,,,,,
4510992020,OUTPT VIS NEW LEVEL 2 15-29MIN,510,99202,, $208.11 , ,,,,,,
4510992070,OUTPT VIS NEW LEV 2 15-29 W/25,510,99202,25, $208.11 , ,,,,,,
4510992030,OUTPT VIS NEW LEVEL 3 30-44MIN,510,99203,, $301.12 , ,,,,,,
4510992080,OUTPT VIS NEW LEV 3 30-44 W/25,510,99203,25, $301.12 , ,,,,,,
4510992040,OUTPT VIS NEW LEVEL 4 45-59MIN,510,99204,, $460.39 , ,,,,,,
4510992090,OUTPT VIS NEW LEV 4 45-59 W/25,510,99204,25, $460.39 , ,,,,,,
4510992050,OUTPT VIS NEW LEVEL 5 60-74MIN,510,99205,, $572.01 , ,,,,,,
4510992100,OUTPT VIS NEW LEV 5 60-74 W/25,510,99205,25, $572.01 , ,,,,,,
4510992110,OFFICE VISIT EST LEVEL 1,510,99211,, $158.04 , ,,,,,,
4510992160,OFFICE VISIT EST LVL 1 W/MOD25,510,99211,25, $158.04 , ,,,,,,
4510992120,OUTPT VIS EST LEVEL 2 10-19MIN,510,99212,, $205.08 , ,,,,,,
4510992170,OUTPT VIS EST LEV 2 10-19 W/25,510,99212,25, $205.08 , ,,,,,,
4510992130,OUTPT VIS EST LEVEL 3 20-29MIN,510,99213,, $259.97 , ,,,,,,
4510992180,OUTPT VIS EST LEV 3 20-29 W/25,510,99213,25, $259.97 , ,,,,,,
4510992140,OUTPT VIS EST LEVEL 4 30-39MIN,510,99214,, $357.62 , ,,,,,,
4510992190,OUTPT VIS EST LEV 4 30-39 W/25,510,99214,25, $357.62 , ,,,,,,
4510992150,OUTPT VIS EST LEVEL 5 40-54MIN,510,99215,, $403.43 , ,,,,,,
4510992200,OUTPT VIS EST LEV 5 40-54 W/25,510,99215,25, $403.43 , ,,,,,,
4510992210,ADVANCED CARE PLAN 30MIN,510,99497,, $235.77 , ,,,,,,
4510992221,ADVANCED CARE PLAN ADDL 30MIN,510,99498,, $205.62 , ,,,,,,
4510998904,CHEMO EXTEND IV INFUS W/PUMP,280,G0498,, $426.14 , ,,,,,,
4510146753,TELEHEALTH ORIG SITE VISIT FEE,510,Q3014,, $39.17 , ,,,,,,
4510146698,OUTPT EST LEVEL1 W/VIDEO,510,,, $158.04 , ,,,,,,
4510146709,OUTPT EST LEVEL2 W/VIDEO,510,,, $205.08 , ,,,,,,
4510146720,OUTPT EST LEVEL3 W/VIDEO,510,,, $259.97 , ,,,,,,
4510146731,OUTPT EST LEVEL4 W/VIDEO,510,,, $357.62 , ,,,,,,
4510146742,OUTPT EST LEVEL5 W/VIDEO,510,,, $403.43 , ,,,,,,
4510146654,OUTPT NEW LEVEL2 W/VIDEO,510,,, $208.11 , ,,,,,,
4510146665,OUTPT NEW LEVEL3 W/VIDEO,510,,, $301.12 , ,,,,,,
4510146676,OUTPT NEW LEVEL4 W/VIDEO,510,,, $460.39 , ,,,,,,
4510146687,OUTPT NEW LEVEL5 W/VIDEO,510,,, $572.01 , ,,,,,,
4510146621,TELEPHONE E/M 11-20MIN,510,,, $97.31 , ,,,,,,
4510146632,TELEPHONE E/M 21-30MIN,510,,, $102.95 , ,,,,,,
4510146610,TELEPHONE E/M 5-10MIN,510,,, $91.67 , ,,,,,,
4525364150,COLLECTION VENOUS BLOOD,300,36415,, $20.93 , ,,,,,,
4525364160,FINGERSTICK (BLOOD GLUCOSE),300,36416,, $16.28 , ,,,,,,
4525045100,"BX OF ANORECTAL WALL ,ANAL APP",510,45100,," $2,115.95 ", ,,,,,,
4525995043,URINE PREGNANCY TEST,300,81025,, $51.66 , ,,,,,,
4525995070,TUBERCULLIN SKIN TEST,302,86580,, $24.28 , ,,,,,,
4525000223,ADMINISTRATION FLU VACCINE,771,90471,, $102.26 , ,,,,,,
4525000224,ADMINISTRATION PNEUMO VACCINE,771,90471,, $102.26 , ,,,,,,
4525000225,ADMIN-HEPATITIS B VACCINE,771,90471,, $102.26 , ,,,,,,
4525995027,IMMUNIZATION ADM ONE VACCINE,771,90471,, $102.26 , ,,,,,,
4525995028,IMMUNIZATION ADM EACH ADD'L,771,90472,, $59.30 , ,,,,,,
4525995012,IV INF THER/PROP/DX INT TO 1HR,260,96365,, $685.95 , ,,,,,,
4525995029,INJECT THERAP/PROPH/DX SUBQ/IM,260,96372,, $209.27 , ,,,,,,
4525992010,OUTPT VIS NEW LEVEL 2 15-29MIN,510,99202,, $208.11 , ,,,,,,
4525992030,OUTPT VIS NEW LEVEL 3 30-44MIN,510,99203,, $301.12 , ,,,,,,
4525992052,OUTPT VIS NEW LEVEL 4 45-59MIN,510,99204,, $460.39 , ,,,,,,
4525992053,OUTPT VIS NEW LEVEL 5 60-74MIN,510,99205,, $572.01 , ,,,,,,
4525992120,OUTPT VISIT EST PT LEVEL 1,510,99211,, $158.04 , ,,,,,,
4525992130,OUTPT VIS EST LEVEL 2 10-19MIN,510,99212,, $205.08 , ,,,,,,
4525992142,OUTPT VIS EST LEVEL 3 20-29MIN,510,99213,, $259.97 , ,,,,,,
4525992153,OUTPT VIS EST LEVEL 4 30-39MIN,510,99214,, $357.62 , ,,,,,,
4525992154,OUTPT VIS EST LEVEL 5 40-54MIN,510,99215,, $403.43 , ,,,,,,
4525099384,PREVENTIVE VISIT NEW 12-17,510,99384,, $379.01 , ,,,,,,
